seed,num_classes,combo_idx,class_list,subset_pct,num_samples,samples_per_class,epochs_trained,training_time,accuracy,balanced_accuracy,f1_macro,f1_weighted,precision_macro,recall_macro,auroc_macro,auprc_macro,mcc,cohens_kappa,log_loss
14994796,4,3,"[1, 5, 6, 9]",30,7200,1800,17,5.35,0.9945,0.9945,0.9945,0.9945,0.9945,0.9945,0.9998,0.9996,0.9927,0.9927,0.0226
14994796,4,3,"[1, 5, 6, 9]",40,9600,2400,16,6.63,0.9925,0.9925,0.9925,0.9925,0.9925,0.9925,0.9999,0.9998,0.99,0.99,0.0208
14994796,4,3,"[1, 5, 6, 9]",50,12000,3000,15,7.92,0.9932,0.9932,0.9933,0.9933,0.9933,0.9932,0.9999,0.9996,0.991,0.991,0.0229
14994796,4,3,"[1, 5, 6, 9]",60,14400,3600,26,16.62,0.9918,0.9917,0.9918,0.9918,0.9918,0.9917,0.9998,0.9996,0.989,0.989,0.0314
14994796,4,3,"[1, 5, 6, 9]",70,16800,4200,27,20.11,0.994,0.994,0.994,0.994,0.994,0.994,0.9999,0.9998,0.992,0.992,0.0224
14994796,4,3,"[1, 5, 6, 9]",80,19200,4800,32,26.67,0.9942,0.9942,0.9942,0.9942,0.9943,0.9942,0.9999,0.9998,0.9923,0.9923,0.0288
14994796,4,3,"[1, 5, 6, 9]",90,21600,5400,17,15.92,0.9945,0.9945,0.9945,0.9945,0.9945,0.9945,0.9999,0.9998,0.9927,0.9927,0.02
14994796,4,3,"[1, 5, 6, 9]",100,24000,6000,20,20.79,0.9945,0.9945,0.9945,0.9945,0.9945,0.9945,0.9999,0.9998,0.9927,0.9927,0.0222
14994796,4,4,"[1, 5, 7, 9]",10,2400,600,17,1.76,0.9692,0.9692,0.9693,0.9693,0.9694,0.9692,0.9981,0.9945,0.959,0.959,0.0925
14994796,4,4,"[1, 5, 7, 9]",20,4800,1200,21,4.39,0.9745,0.9745,0.9745,0.9745,0.9748,0.9745,0.9986,0.9962,0.9661,0.966,0.0855
14994796,4,4,"[1, 5, 7, 9]",30,7200,1800,17,5.3,0.9712,0.9713,0.9714,0.9714,0.9721,0.9713,0.9984,0.9954,0.9619,0.9617,0.0895
14994796,4,4,"[1, 5, 7, 9]",40,9600,2400,16,6.61,0.9742,0.9742,0.9742,0.9742,0.9744,0.9742,0.9986,0.9961,0.9657,0.9657,0.0738
14994796,4,4,"[1, 5, 7, 9]",50,12000,3000,21,10.97,0.976,0.976,0.9761,0.9761,0.9762,0.976,0.9988,0.9966,0.968,0.968,0.0815
14994796,4,4,"[1, 5, 7, 9]",60,14400,3600,13,8.02,0.978,0.978,0.978,0.978,0.978,0.978,0.9989,0.997,0.9707,0.9707,0.0631
14994796,4,4,"[1, 5, 7, 9]",70,16800,4200,18,12.41,0.9815,0.9815,0.9815,0.9815,0.9815,0.9815,0.999,0.997,0.9753,0.9753,0.0645
14994796,4,4,"[1, 5, 7, 9]",80,19200,4800,17,13.36,0.9802,0.9803,0.9803,0.9803,0.9803,0.9803,0.999,0.9972,0.9737,0.9737,0.0647
14994796,4,4,"[1, 5, 7, 9]",90,21600,5400,14,12.33,0.98,0.98,0.98,0.98,0.9806,0.98,0.9989,0.997,0.9735,0.9733,0.0652
14994796,4,4,"[1, 5, 7, 9]",100,24000,6000,18,18.23,0.9812,0.9812,0.9813,0.9813,0.9814,0.9812,0.9992,0.9975,0.975,0.975,0.0573
14994796,5,0,"[0, 1, 2, 3, 8]",10,3000,600,16,2.1,0.9492,0.9492,0.949,0.949,0.949,0.9492,0.9957,0.986,0.9366,0.9365,0.1777
14994796,5,0,"[0, 1, 2, 3, 8]",20,6000,1200,16,4.06,0.957,0.957,0.957,0.957,0.9573,0.957,0.9965,0.9886,0.9463,0.9463,0.1486
14994796,5,0,"[0, 1, 2, 3, 8]",30,9000,1800,14,5.38,0.9578,0.9578,0.9578,0.9578,0.958,0.9578,0.997,0.9897,0.9473,0.9473,0.1268
14994796,5,0,"[0, 1, 2, 3, 8]",40,12000,2400,14,7.29,0.9616,0.9616,0.9617,0.9617,0.9623,0.9616,0.9972,0.9904,0.9521,0.952,0.1254
14994796,5,0,"[0, 1, 2, 3, 8]",50,15000,3000,15,9.87,0.9616,0.9616,0.9617,0.9617,0.9618,0.9616,0.9973,0.9906,0.952,0.952,0.1229
14994796,5,0,"[0, 1, 2, 3, 8]",60,18000,3600,14,10.85,0.9658,0.9658,0.9658,0.9658,0.9661,0.9658,0.9976,0.9919,0.9573,0.9573,0.1086
14994796,5,0,"[0, 1, 2, 3, 8]",70,21000,4200,14,12.99,0.9622,0.9622,0.9622,0.9622,0.9625,0.9622,0.9974,0.991,0.9528,0.9527,0.1195
14994796,5,0,"[0, 1, 2, 3, 8]",80,24000,4800,16,18.44,0.9672,0.9672,0.9672,0.9672,0.9673,0.9672,0.9975,0.9913,0.959,0.959,0.1101
